id,walk_subway(m),walk_bus(m),car_airport(m)
302238,249,213.0,10739.0
302280,301,65.0,11005.0
302309,334,49.0,10741.0
302705,173,26.0,13639.0
302758,502,150.0,9947.0
303264,64,59.0,10522.0
305245,387,85.0,10808.0
310325,387,169.0,12201.0
310338,259,219.0,12297.0
432823,545,242.0,24910.0
433414,349,120.0,14796.0
433914,166,221.0,19682.0
437352,221,213.0,19014.0
272026,121,20.0,17176.0
518566,300,63.0,14253.0
519310,111,571.0,6812.0
523123,422,216.0,28293.0
528485,494,260.0,20928.0
530576,481,190.0,15766.0
439750,216,111.0,10501.0
310524,785,186.0,13697.0
314982,263,197.0,14614.0
318021,417,133.0,11475.0
321136,251,154.0,13546.0
322037,321,168.0,11857.0
439870,534,190.0,17899.0
442636,505,249.0,17481.0
443646,454,122.0,14157.0
447766,601,143.0,13662.0
448011,277,171.0,14565.0
325429,440,101.0,12976.0
332208,210,58.0,10932.0
333323,921,86.0,15959.0
336055,2493,290.0,17972.0
532288,142,90.0,17177.0
533506,327,99.0,16025.0
536578,440,95.0,11302.0
538465,2504,2496.0,16863.0
540057,190,46.0,12942.0
541725,528,95.0,12061.0
542054,327,99.0,16025.0
543792,897,365.0,10176.0
449660,624,135.0,23303.0
450577,192,62.0,15213.0
453094,258,122.0,14540.0
455734,477,344.0,17530.0
456190,440,57.0,17392.0
342995,163,96.0,10703.0
343276,623,93.0,14542.0
343766,117,1857.0,6622.0
344082,530,185.0,14615.0
351859,233,115.0,14355.0
352651,417,126.0,23117.0
353317,132,78.0,15226.0
355563,249,193.0,17173.0
545261,185,77.0,14266.0
545651,258,1.0,22948.0
550653,466,236.0,18494.0
552502,491,168.0,15957.0
552519,642,162.0,21593.0
552639,125,48.0,11202.0
456578,199,170.0,16437.0
463042,134,160.0,15460.0
465706,495,61.0,12651.0
373618,365,154.0,12121.0
385824,2070,14.0,19955.0
386744,160,164.0,13799.0
387666,160,53.0,13895.0
466277,561,117.0,11661.0
466457,1274,80.0,13247.0
467569,464,271.0,14525.0
553872,508,150.0,12010.0
553903,328,68.0,12070.0
560078,1131,82.0,15586.0
568661,301,300.0,10467.0
467866,451,129.0,17000.0
389482,672,364.0,10444.0
392948,204,88.0,12018.0
394111,575,289.0,10408.0
396636,171,35.0,13432.0
397034,509,150.0,16980.0
569255,1887,56.0,37696.0
570797,633,146.0,15676.0
571564,739,47.0,22217.0
573671,597,42.0,15098.0
576227,143,157.0,12567.0
578267,490,160.0,15505.0
479002,373,107.0,14970.0
479285,755,747.0,7619.0
483414,705,323.0,15393.0
487684,183,70.0,16697.0
491123,459,348.0,16421.0
643328,725,107.0,15739.0
644575,836,91.0,24934.0
645075,575,202.0,15904.0
645693,336,1760.0,6307.0
646458,1260,66.0,12621.0
496166,534,202.0,18104.0
581488,699,139.0,11906.0
582372,766,762.0,5051.0
587698,318,78.0,26879.0
587740,216,146.0,16209.0
590903,316,112.0,10725.0
591135,180,94.0,15492.0
498052,510,29.0,11722.0
499763,305,169.0,15110.0
504362,200,149.0,16536.0
651375,56,42.0,15625.0
651648,229,139.0,15095.0
655811,252,124.0,15101.0
656281,281,111.0,23030.0
658366,271,182.0,14415.0
658932,598,156.0,17586.0
507393,811,216.0,15722.0
597668,555,84.0,21159.0
600775,327,188.0,16491.0
602070,404,72.0,10462.0
512022,689,89.0,14641.0
513343,279,111.0,16129.0
513688,338,116.0,16492.0
514548,256,56.0,11840.0
752616,315,131.0,15205.0
664047,530,7.0,12716.0
666613,547,55.0,12568.0
666837,266,184.0,14977.0
667502,96,67.0,16443.0
669640,451,154.0,17813.0
606269,724,76.0,15779.0
607781,186,50.0,11432.0
611009,843,184.0,15479.0
611156,483,184.0,13205.0
613528,143,67.0,11184.0
753622,239,62.0,14543.0
753687,246,86.0,21048.0
753991,992,88.0,14368.0
754353,266,1556.0,5769.0
759901,979,169.0,19446.0
675793,218,155.0,17355.0
680225,982,198.0,10107.0
681599,724,108.0,33542.0
684991,468,67.0,12792.0
690603,651,141.0,22343.0
761835,671,1194.0,6146.0
618916,529,39.0,15468.0
634353,444,190.0,15544.0
639199,1226,518.0,30364.0
762015,450,278.0,11440.0
762145,264,222.0,16715.0
762426,405,11.0,12564.0
690934,203,25.0,16994.0
695216,667,246.0,14504.0
698132,826,27.0,13286.0
698298,118,144.0,15491.0
765315,421,373.0,17324.0
765563,6999,284.0,21607.0
828130,112,107.0,17375.0
828553,124,14.0,14583.0
828616,501,215.0,21087.0
836720,2954,276.0,7458.0
837503,469,65.0,13795.0
838070,484,44.0,20913.0
765569,690,13.0,15097.0
767286,189,71.0,14034.0
699472,405,128.0,11996.0
703971,187,82.0,23203.0
704838,216,1176.0,4318.0
705749,832,464.0,23372.0
705997,805,199.0,19994.0
707396,842,200.0,15113.0
711635,378,65.0,15900.0
712127,1162,317.0,22701.0
840731,261,98.0,16328.0
844319,447,259.0,26646.0
846854,319,113.0,14197.0
847648,417,118.0,12800.0
773885,373,72.0,13631.0
774791,772,55.0,6729.0
776257,318,201.0,12167.0
777327,21,620.0,20008.0
779838,371,319.0,13612.0
783202,141,137.0,17345.0
783341,526,66.0,15486.0
848718,657,76.0,23405.0
850338,244,107.0,11423.0
850517,444,130.0,19066.0
850712,416,251.0,16455.0
850943,837,171.0,12678.0
852118,184,159.0,16205.0
712260,236,101.0,17521.0
713538,502,165.0,15174.0
714049,175,1272.0,4318.0
723709,466,25.0,11971.0
727512,855,182.0,11490.0
784122,579,133.0,19044.0
784124,445,118.0,18899.0
736187,319,124.0,11139.0
739239,463,276.0,14963.0
739242,526,129.0,15011.0
740754,510,441.0,4881.0
747316,337,40.0,12570.0
852632,421,69.0,20281.0
853142,207,70.0,14147.0
854396,383,271.0,10274.0
856918,274,213.0,17806.0
857810,352,170.0,11431.0
864981,168,133.0,32587.0
786685,578,67.0,12206.0
787060,286,178.0,13025.0
788005,294,125.0,16143.0
748118,875,202.0,11484.0
749276,474,56.0,17713.0
752289,370,20.0,16413.0
951365,885,353.0,10176.0
951439,347,84.0,14720.0
953314,74,160.0,13600.0
867020,545,24.0,11126.0
873701,154,121.0,22962.0
874706,970,56.0,23503.0
876355,298,73.0,11805.0
794156,283,93.0,14762.0
